,Código,Nome_da_Estação,Estado, Município,Responsável_pela_Estação, Latitude_da_Estação , Longitude_da_Estação
0,873001,FAZENDA MONTE CRISTO,ACRE,CRUZEIRO DO SUL,ANA,-8.235,-73.3006
1,970000,FAZENDA CALIFORNIA,ACRE,FEIJÓ,ANA,-9.1333,-70.8167
2,773001,SERINGAL BELO MONTE,ACRE,CRUZEIRO DO SUL,ANA,-7.3856,-73.085
3,968002,BOCA DO CAFEZAL,ACRE,SENA MADUREIRA,ANA,-9.0603,-68.6533
4,1067000,COLOCAÇÃO CAJUEIRO,ACRE,PLÁCIDO DE CASTRO,ANA,-10.3,-67.1167
5,1069001,FAZENDA PETRÓPOLIS,ACRE,SENA MADUREIRA,ANA,-10.5167,-69.8333
6,871001,SERINGAL SÃO LUIZ,ACRE,TARAUACÁ,ANA,-8.6514,-71.5683
7,971001,FOZ DO JORDÃO,ACRE,JORDÃO,ANA,-9.4333,-71.8833
8,772001,COLOCAÇÃO SÃO FRANCISCO,ACRE,TARAUACÁ,ANA,-8.0178,-72.0347
9,969000,FAZENDA JUSSARA,ACRE,MANOEL URBANO,ANA,-9.35,-69.9167
10,970001,SANTA ROSA DO PURUS,ACRE,SANTA ROSA DO PURUS,ANA,-9.3833,-70.4667
11,1067001,FAZENDA SANTO AFONSO,ACRE,RIO BRANCO,ANA,-10.0667,-67.9333
12,1067004,FAZENDA ITÚ,ACRE,RIO BRANCO,ANA,-10.2667,-67.8333
13,1068001,FAZENDA PERSEVERANÇA,ACRE,XAPURI,ANA,-10.4667,-68.0333
14,971000,FOZ DO JORDÃO,ACRE,TARAUACÁ,ANA,-9.4333,-71.8833
15,967005,SANTA ROSA,ACRE,SENADOR GUIOMARD,ANA,-9.8881,-67.1392
16,1067002,PLÁCIDO DE CASTRO,ACRE,PLÁCIDO DE CASTRO,ANA,-10.3242,-67.1886
17,1067003,VILA CAPIXABA,ACRE,CAPIXABA,ANA,-10.5758,-67.6767
18,968004,FAZENDA CANARI,ACRE,BUJARI,ANA,-9.5667,-68.2833
19,1170000,ESEC RIO ACRE,ACRE,ASSIS BRASIL,ANA,-11.0514,-70.2164
20,1068000,XAPURI,ACRE,XAPURI,ANA,-10.6497,-68.5067
21,869000,MANOEL URBANO,ACRE,MANOEL URBANO,ANA,-8.8842,-69.2681
22,968005,SENA MADUREIRA,ACRE,SENA MADUREIRA,ANA,-9.0658,-68.6597
23,1069005,ALDEIA DOS PATOS,ACRE,ASSIS BRASIL,ANA,-10.9264,-69.9233
24,1067006,RIO ROLA (Ramal do Barro Alto),ACRE,RIO BRANCO,ANA,-10.0567,-67.9639
25,967003,RIO BRANCO,ACRE,RIO BRANCO,ANA,-9.9833,-67.7833
26,968003,SERINGAL SÃO JOSÉ,ACRE,SENA MADUREIRA,ANA,-9.3744,-68.7239
27,1069000,ASSIS BRASIL,ACRE,ASSIS BRASIL,ANA,-10.9436,-69.5656
28,1068005,COLÔNIA DOLORES (XAPURI),ACRE,XAPURI,ANA,-10.5606,-68.7036
29,1068002,EPITACIOLÂNDIA (Colônia São Bento),ACRE,EPITACIOLÂNDIA,ANA,-10.8956,-68.6081
30,1068004,ESPALHA (Seringal Belo Horizonte),ACRE,RIO BRANCO,ANA,-10.005,-68.5294
31,1067005,CAPIXABA (Colocação São José),ACRE,CAPIXABA,ANA,-10.3886,-67.9353
32,1168001,BRASILÉIA,ACRE,BRASILÉIA,ANA,-11.0233,-68.735
33,871003,SERINGAL MUCURIPE,ACRE,TARAUACÁ,ANA,-8.7528,-71.0661
34,870004,PONTE DE TARAUACÁ,ACRE,TARAUACÁ,ANA,-8.1606,-70.7594
35,871002,SERINGAL SÃO LUIZ,ACRE,JORDÃO,ANA,-8.6611,-71.5744
36,969001,SERINGAL GUARANY,ACRE,SENA MADUREIRA,ANA,-9.1103,-68.9933
37,970004,SANTA ROSA DO PURUS(Colonia Chambuiaco),ACRE,SANTA ROSA DO PURUS,ANA,-9.4344,-70.4939
38,969002,PARQUE CHANDLESS,ACRE,MANOEL URBANO,ANA,-9.3603,-69.9275
39,773000,SERRA DO MOA,ACRE,CRUZEIRO DO SUL,ANA,-7.4356,-73.6522
40,772003,SERINGAL BOM FUTURO,ACRE,TARAUACÁ,ANA,-7.8503,-72.0192
41,870001,TARAUACÁ - JUSANTE,ACRE,TARAUACÁ,ANA,-8.1458,-70.7153
42,872001,PORTO WALTER,ACRE,PORTO WALTER,ANA,-8.2675,-72.7344
43,870002,FEIJÓ,ACRE,FEIJÓ,ANA,-8.1636,-70.3564
44,870003,SERINGAL SANTA HELENA,ACRE,FEIJÓ,ANA,-8.6858,-70.5511
45,772007,COMUNIDADE GUARANI,ACRE,CRUZEIRO DO SUL,ANA,-7.9728,-72.0442
46,772004,CRUZEIRO DO SUL,ACRE,CRUZEIRO DO SUL,ANA,-7.6472,-72.6769
47,773002,BASE SÃO SALVADOR,ACRE,CRUZEIRO DO SUL,ANA,-7.4125,-73.1914
48,771001,FAZENDA PARANACRE,ACRE,TARAUACÁ,ANA,-7.9511,-71.4822
49,772005,PONTE DO RIO LIBERDADE,ACRE,TARAUACÁ,ANA,-7.7994,-72.0211
50,972000,FOZ DO BREU,ACRE,MARECHAL THAUMATURGO,ANA,-9.4017,-72.7025
51,968007,FAZENDA REPOUSO (Rio Macauã),ACRE,SENA MADUREIRA,ANA,-9.5439,-68.9431
52,872000,THAUMATURGO,ACRE,MARECHAL THAUMATURGO,ANA,-8.9353,-72.785
